CustomerID,Gender,MaritalStatus,IncomeLevel,TransactionDate,InteractionDate,InteractionType,ResolutionStatus,LastLoginDate,ServiceUsage,LoggedInLast30Days,Age,AmountSpent,LoginFrequency,DaysSinceTransaction,DaysSinceInteraction,DaysSinceLogin,InteractionLag,ChurnStatus
1,1,2,1,2022-03-27,2022-03-31,2,0,2023-10-21,0,False,1.222378999743409,1.1313823468643363,0.5727913029010999,0.9030013619477119,0.9053464158949436,-1.0392972688748352,0.011595455893354279,0
2,1,1,1,2022-08-08,2022-03-17,2,0,2023-12-05,2,False,1.4168197971594696,-1.391296881051639,-1.482594774770213,-0.37942167119792336,1.0420934221693128,-1.4699219925053437,-1.0184769045927264,1
2,1,1,1,2022-07-25,2022-03-17,2,0,2023-12-05,2,False,1.4168197971594696,-0.39671067441573954,-1.482594774770213,-0.24543717519763308,1.0420934221693128,-1.4699219925053437,-0.9210376272494484,1
2,1,1,1,2022-01-25,2022-03-17,2,0,2023-12-05,2,False,1.4168197971594696,-1.0678854128492121,-1.482594774770213,1.4867909516632623,1.0420934221693128,-1.4699219925053437,0.33871302983150153,1
2,1,1,1,2022-07-24,2022-03-17,2,0,2023-12-05,2,False,1.4168197971594696,0.997900979297725,-1.482594774770213,-0.23586685405475522,1.0420934221693128,-1.4699219925053437,-0.9140776788677857,1
2,1,1,1,2022-01-09,2022-03-17,2,0,2023-12-05,2,False,1.4168197971594696,0.21529406940378287,-1.482594774770213,1.6399160899493082,1.0420934221693128,-1.4699219925053437,0.4500722039381048,1
2,1,1,1,2022-09-16,2022-03-17,2,0,2023-12-05,2,False,1.4168197971594696,0.39761859290172064,-1.482594774770213,-0.7526641957701604,1.0420934221693128,-1.4699219925053437,-1.289914891477572,1
2,1,1,1,2022-11-19,2022-03-17,2,0,2023-12-05,2,False,1.4168197971594696,-0.3811506404547598,-1.482594774770213,-1.3651647489143444,1.0420934221693128,-1.4699219925053437,-1.7353515879039851,1
3,1,2,1,2022-10-08,2022-08-24,2,0,2023-11-15,2,False,-1.6294193623588136,-0.09276669264879843,-1.624345538747545,-0.9632112609134736,-0.5207295066806212,-1.27853322644734,-0.3294420148081184,0
3,1,2,1,2022-08-15,2022-08-24,2,0,2023-11-15,2,False,-1.6294193623588136,-1.4184397205620478,-1.624345538747545,-0.44641391919806844,-0.5207295066806212,-1.27853322644734,0.04639519780166782,0
3,1,2,1,2022-09-17,2022-08-24,2,0,2023-11-15,2,False,-1.6294193623588136,1.1554550451447756,-1.624345538747545,-0.7622345169130383,-0.5207295066806212,-1.27853322644734,-0.18328309879320154,0
3,1,2,1,2022-07-09,2022-08-24,2,0,2023-11-15,2,False,-1.6294193623588136,0.23280782960201604,-1.624345538747545,-0.09231203691158711,-0.5207295066806212,-1.27853322644734,0.303913287923188,0
3,1,2,1,2022-03-02,2022-08-24,2,0,2023-11-15,2,False,-1.6294193623588136,0.31751581717434524,-1.624345538747545,1.1422593905196587,-0.5207295066806212,-1.27853322644734,1.2017466291576773,0
3,1,2,1,2022-02-11,2022-08-24,2,0,2023-11-15,2,False,-1.6294193623588136,1.0394176618393525,-1.624345538747545,1.3240954922343382,-0.5207295066806212,-1.27853322644734,1.3339856484092687,0
4,1,3,1,2022-07-31,2022-11-18,2,0,2023-08-25,2,False,-1.4349785649427529,-0.8981205580193298,-1.695220920736211,-0.30285910205490035,-1.3607468309374608,-0.49383928560952445,0.7493499843496012,0
4,1,3,1,2022-07-31,2022-07-03,2,1,2023-08-25,2,False,-1.4349785649427529,-0.8981205580193298,-1.695220920736211,-0.30285910205490035,-0.012812054804392702,-0.49383928560952445,-0.21112289231985237,0
4,1,3,1,2022-12-01,2022-11-18,2,0,2023-08-25,2,False,-1.4349785649427529,-0.9124246251135039,-1.695220920736211,-1.4800086026288788,-1.3607468309374608,-0.49383928560952445,-0.10672366659491174,0
4,1,3,1,2022-12-01,2022-07-03,2,1,2023-08-25,2,False,-1.4349785649427529,-0.9124246251135039,-1.695220920736211,-1.4800086026288788,-0.012812054804392702,-0.49383928560952445,-1.0671965432643653,0
4,1,3,1,2022-12-22,2022-11-18,2,0,2023-08-25,2,False,-1.4349785649427529,-0.09004543110405319,-1.695220920736211,-1.6809853466293143,-1.3607468309374608,-0.49383928560952445,-0.2528825826098286,0
4,1,3,1,2022-12-22,2022-07-03,2,1,2023-08-25,2,False,-1.4349785649427529,-0.09004543110405319,-1.695220920736211,-1.6809853466293143,-0.012812054804392702,-0.49383928560952445,-1.2133554592792821,0
4,1,3,1,2022-12-27,2022-11-18,2,0,2023-08-25,2,False,-1.4349785649427529,-1.466236237437703,-1.695220920736211,-1.7288369523437037,-1.3607468309374608,-0.49383928560952445,-0.28768232451814213,0
4,1,3,1,2022-12-27,2022-07-03,2,1,2023-08-25,2,False,-1.4349785649427529,-1.466236237437703,-1.695220920736211,-1.7288369523437037,-0.012812054804392702,-0.49383928560952445,-1.2481552011875956,0
4,1,3,1,2022-05-22,2022-11-18,2,0,2023-08-25,2,False,-1.4349785649427529,0.8933766256046859,-1.695220920736211,0.36706337794655086,-1.3607468309374608,-0.49383928560952445,1.236546371065991,0
4,1,3,1,2022-05-22,2022-07-03,2,1,2023-08-25,2,False,-1.4349785649427529,0.8933766256046859,-1.695220920736211,0.36706337794655086,-0.012812054804392702,-0.49383928560952445,0.27607349439653717,0
6,0,0,2,2022-08-11,2022-05-05,1,0,2023-09-17,2,False,0.8983110040499745,0.7760134994954125,-1.695220920736211,-0.40813263462655697,0.5634789002090205,-0.7139363665762288,-0.6983192790362419,0
6,0,0,2,2022-10-29,2022-05-05,1,0,2023-09-17,2,False,0.8983110040499745,1.3571772791411547,-1.695220920736211,-1.164188004913909,0.5634789002090205,-0.7139363665762288,-1.2481552011875956,0
6,0,0,2,2022-08-09,2022-05-05,1,0,2023-09-17,2,False,0.8983110040499745,-1.4838197735729808,-1.695220920736211,-0.38899199234080123,0.5634789002090205,-0.7139363665762288,-0.6843993822729165,0
